program,image,radius,threads,rep,elapsed_s,max_rss_kb,task_clock_ms,cpus_utilized,ctx_switches,cpu_migrations,page_faults,tool
blur,im1,15,1,1,0.120000,17856,125.420,104.52,2,0,3815,time+perf
blur,im1,15,1,2,0.120000,17664,127.940,106.62,2,0,3816,time+perf
blur,im1,15,1,3,0.120000,17664,127.460,106.22,2,0,3814,time+perf
blur,im1,15,1,4,0.120000,17664,129.570,107.97,2,0,3815,time+perf
blur,im1,15,1,5,0.120000,17664,128.940,107.45,3,0,3815,time+perf
blur,im2,15,1,1,0.260000,24660,277.720,106.82,4,1,6462,time+perf
blur,im2,15,1,2,0.270000,24468,291.470,107.95,4,0,6463,time+perf
blur,im2,15,1,3,0.260000,24660,284.790,109.53,4,0,6462,time+perf
blur,im2,15,1,4,0.260000,24660,284.360,109.37,3,0,6463,time+perf
blur,im2,15,1,5,0.260000,24656,283.370,108.99,4,0,6463,time+perf
blur,im3,15,1,1,0.480000,36504,524.230,109.21,3,1,10428,time+perf
blur,im3,15,1,2,0.480000,36504,523.900,109.15,7,0,10428,time+perf
blur,im3,15,1,3,0.490000,36504,529.070,107.97,7,0,10428,time+perf
blur,im3,15,1,4,0.480000,36500,522.160,108.78,6,1,10428,time+perf
blur,im3,15,1,5,0.480000,36504,524.530,109.28,4,0,10429,time+perf
blur,im4,15,1,1,2.530000,134996,2758.310,109.02,7,1,41266,time+perf
blur,im4,15,1,2,2.540000,135188,2770.100,109.06,6,1,41269,time+perf
blur,im4,15,1,3,2.560000,135384,2787.220,108.88,8,1,41269,time+perf
blur,im4,15,1,4,2.560000,135188,2787.620,108.89,6,1,41267,time+perf
blur,im4,15,1,5,2.540000,135380,2767.170,108.94,10,0,41267,time+perf
blur,im1,15,2,1,0.080000,17856,125.380,156.72,4,0,3819,time+perf
blur,im1,15,2,2,0.080000,17664,123.770,154.71,5,0,3820,time+perf
blur,im1,15,2,3,0.080000,17664,123.310,154.14,5,1,3820,time+perf
blur,im1,15,2,4,0.080000,17856,127.450,159.31,5,0,3819,time+perf
blur,im1,15,2,5,0.080000,17856,124.150,155.19,5,1,3819,time+perf
blur,im2,15,2,1,0.170000,24660,271.440,159.67,7,0,6467,time+perf
blur,im2,15,2,2,0.170000,24664,275.580,162.11,5,0,6469,time+perf
blur,im2,15,2,3,0.170000,24664,273.260,160.74,6,0,6469,time+perf
blur,im2,15,2,4,0.170000,24848,277.770,163.39,5,1,6466,time+perf
blur,im2,15,2,5,0.170000,24468,276.640,162.73,4,0,6466,time+perf
blur,im3,15,2,1,0.320000,36308,516.300,161.34,10,0,10432,time+perf
blur,im3,15,2,2,0.330000,36500,528.580,160.18,7,1,10434,time+perf
blur,im3,15,2,3,0.320000,36120,517.550,161.73,10,2,10434,time+perf
blur,im3,15,2,4,0.320000,36500,510.880,159.65,10,1,10432,time+perf
blur,im3,15,2,5,0.320000,35928,521.450,162.95,3,1,10433,time+perf
blur,im4,15,2,1,1.740000,135188,2732.730,157.05,8,0,41271,time+perf
blur,im4,15,2,2,1.730000,135188,2707.960,156.53,13,1,41271,time+perf
blur,im4,15,2,3,1.730000,134996,2700.710,156.11,13,2,41274,time+perf
blur,im4,15,2,4,1.730000,135000,2726.290,157.59,9,0,41272,time+perf
blur,im4,15,2,5,4.650000,135000,2720.750,58.51,7,0,41274,time+perf
blur,im1,15,4,1,0.060000,17664,123.870,206.45,6,0,3827,time+perf
blur,im1,15,4,2,0.060000,17664,129.700,216.17,4,0,3828,time+perf
blur,im1,15,4,3,0.060000,17472,124.420,207.37,5,0,3828,time+perf
blur,im1,15,4,4,0.060000,17664,126.890,211.48,8,0,3828,time+perf
blur,im1,15,4,5,0.060000,17664,124.610,207.68,7,0,3827,time+perf
blur,im2,15,4,1,0.130000,24088,274.350,211.04,5,0,6476,time+perf
blur,im2,15,4,2,0.140000,24084,284.640,203.31,6,0,6475,time+perf
blur,im2,15,4,3,0.130000,24088,273.530,210.41,10,0,6476,time+perf
blur,im2,15,4,4,0.130000,23892,269.940,207.65,7,1,6475,time+perf
blur,im2,15,4,5,0.130000,24280,274.300,211.00,9,0,6476,time+perf
blur,im3,15,4,1,0.240000,36116,506.270,210.95,7,0,10441,time+perf
blur,im3,15,4,2,0.240000,35924,501.590,209.00,8,0,10440,time+perf
blur,im3,15,4,3,0.250000,35924,528.500,211.40,9,0,10441,time+perf
blur,im3,15,4,4,0.250000,35924,513.890,205.56,9,1,10439,time+perf
blur,im3,15,4,5,0.240000,35928,512.460,213.53,6,0,10441,time+perf
blur,im4,15,4,1,1.360000,135188,2749.940,202.20,16,3,41280,time+perf
blur,im4,15,4,2,1.350000,134612,2740.310,202.99,8,1,41280,time+perf
blur,im4,15,4,3,1.330000,135380,2673.290,201.00,15,1,41280,time+perf
blur,im4,15,4,4,1.350000,134704,2693.200,199.50,5,1,41280,time+perf
blur,im4,15,4,5,1.360000,134996,2737.330,201.27,13,1,41279,time+perf
blur,im1,15,8,1,0.050000,17664,126.290,252.58,10,0,3859,time+perf
blur,im1,15,8,2,0.050000,17856,127.620,255.24,10,0,3859,time+perf
blur,im1,15,8,3,0.050000,17856,127.320,254.64,8,1,3858,time+perf
blur,im1,15,8,4,0.060000,17664,138.620,231.03,9,0,3860,time+perf
blur,im1,15,8,5,0.050000,17472,128.280,256.56,8,1,3859,time+perf
blur,im2,15,8,1,0.120000,23892,282.100,235.08,6,1,6507,time+perf
blur,im2,15,8,2,0.120000,23892,292.980,244.15,9,0,6508,time+perf
blur,im2,15,8,3,0.120000,23508,301.700,251.42,9,0,6507,time+perf
blur,im2,15,8,4,0.120000,23704,295.510,246.26,8,0,6508,time+perf
blur,im2,15,8,5,0.120000,23320,275.640,229.70,8,0,6510,time+perf
blur,im3,15,8,1,0.210000,35736,518.520,246.91,11,1,10473,time+perf
blur,im3,15,8,2,0.220000,35352,541.630,246.20,5,1,10472,time+perf
blur,im3,15,8,3,0.220000,35736,541.300,246.05,17,0,10472,time+perf
blur,im3,15,8,4,0.220000,35348,560.530,254.79,13,1,10472,time+perf
blur,im3,15,8,5,0.220000,35732,540.550,245.70,9,0,10472,time+perf
blur,im4,15,8,1,1.200000,135188,2800.090,233.34,24,1,41311,time+perf
blur,im4,15,8,2,1.190000,135000,2804.500,235.67,18,0,41313,time+perf
blur,im4,15,8,3,1.190000,134996,2754.070,231.43,14,2,41312,time+perf
blur,im4,15,8,4,1.200000,134996,2773.830,231.15,15,0,41313,time+perf
blur,im4,15,8,5,1.180000,134624,2766.790,234.47,19,7,41313,time+perf
blur,im1,15,16,1,0.050000,17664,143.990,287.98,11,0,3927,time+perf
