program,image,radius,threads,runs_total,runs_kept,elapsed_mean,elapsed_std,elapsed_ci95,rss_kb_mean,task_clock_ms_mean,cpus_utilized_mean,t1,speedup_vs_t1
blur,im1,15,1,5,4,0.12,0.0,0.0,17664.0,125.46499999999999,104.55499999999999,0.225,1.8750000000000002
blur,im1,15,2,5,5,0.08,0.0,0.0,17664.0,123.5,154.376,0.225,2.8125
blur,im1,15,4,5,5,0.06,0.0,0.0,17779.2,121.78,202.96600000000004,0.225,3.7500000000000004
blur,im1,15,8,5,5,0.05,0.0,0.0,17664.0,125.724,251.448,0.225,4.5
blur,im1,15,16,5,5,0.05,0.0,0.0,17740.8,144.574,289.148,0.225,4.5
blur,im1,15,32,5,5,0.05,0.0,0.0,17779.2,157.08800000000002,314.17600000000004,0.225,4.5
blur,im2,15,1,5,5,0.254,0.004898979485566361,0.004294144850840506,24507.2,272.23,107.196,0.47,1.8503937007874014
blur,im2,15,2,5,4,0.17,0.0,0.0,24470.0,270.47749999999996,159.1025,0.47,2.7647058823529407
blur,im2,15,4,5,5,0.13,0.0,0.0,24084.8,267.548,205.808,0.47,3.615384615384615
blur,im2,15,8,5,4,0.12,0.0,0.0,23750.0,280.885,234.0725,0.47,3.9166666666666665
blur,im2,15,16,5,4,0.11,0.0,0.0,24758.0,313.3275,284.8425,0.47,4.2727272727272725
blur,im2,15,32,5,4,0.11,0.0,0.0,23460.0,327.6925,297.9,0.47,4.2727272727272725
blur,im3,15,1,5,5,0.454,0.004898979485566361,0.004294144850840506,36462.4,491.37000000000006,108.23400000000001,0.8560000000000001,1.8854625550660795
blur,im3,15,2,5,4,0.31,0.0,0.0,36358.0,494.60999999999996,159.5525,0.8560000000000001,2.7612903225806456
blur,im3,15,4,5,4,0.24,0.0,0.0,35877.0,499.29499999999996,208.0425,0.8560000000000001,3.5666666666666673
blur,im3,15,8,5,4,0.21,0.0,0.0,35638.0,518.7425,247.01999999999998,0.8560000000000001,4.076190476190477
blur,im3,15,16,5,5,0.20400000000000001,0.004898979485566347,0.004294144850840494,35232.8,597.482,293.024,0.8560000000000001,4.196078431372549
blur,im3,15,32,5,4,0.2,0.0,0.0,34004.0,674.9725,337.48249999999996,0.8560000000000001,4.28
blur,im4,15,1,5,4,2.34,0.007071067811865481,0.006929646455628172,135333.0,2547.69,108.875,4.265,1.8226495726495726
blur,im4,15,2,5,5,1.6620000000000001,0.007483314773547889,0.006559414608027158,135074.4,2554.074,153.67600000000002,4.265,2.5661853188928996
blur,im4,15,4,5,4,1.32,0.0,0.0,135044.0,2566.21,194.4125,4.265,3.2310606060606055
blur,im4,15,8,5,5,1.182,0.007483314773547889,0.006559414608027158,135108.0,2717.97,229.952,4.265,3.6082910321489
blur,im4,15,16,5,5,1.138,0.007483314773547889,0.006559414608027158,133462.4,3322.0919999999996,291.93,4.265,3.74780316344464
blur,im4,15,32,5,4,1.1275,0.01479019945774896,0.014494395468593982,133804.0,4005.025,355.0925,4.265,3.7827050997782705
