program,image,radius,threads,rep,elapsed_s,max_rss_kb,task_clock_ms,cpus_utilized,ctx_switches,cpu_migrations,page_faults,tool
blur,im1,15,1,1,0.110000,17856,121.150,110.14,2,0,3818,time+perf
blur,im1,15,1,2,0.120000,17664,127.620,106.35,4,0,3816,time+perf
blur,im1,15,1,3,0.120000,17664,126.020,105.02,3,1,3815,time+perf
blur,im1,15,1,4,0.120000,17664,125.270,104.39,3,0,3817,time+perf
blur,im1,15,1,5,0.120000,17664,122.950,102.46,2,0,3815,time+perf
blur,im2,15,1,1,0.250000,24660,270.710,108.28,5,0,6462,time+perf
blur,im2,15,1,2,0.260000,24468,274.050,105.40,6,0,6463,time+perf
blur,im2,15,1,3,0.260000,24280,276.640,106.40,7,1,6463,time+perf
blur,im2,15,1,4,0.250000,24664,270.380,108.15,3,0,6465,time+perf
blur,im2,15,1,5,0.250000,24464,269.370,107.75,7,1,6461,time+perf
blur,im3,15,1,1,0.460000,36500,494.720,107.55,2,0,10428,time+perf
blur,im3,15,1,2,0.450000,36504,490.720,109.05,6,0,10429,time+perf
blur,im3,15,1,3,0.460000,36308,496.960,108.03,4,0,10427,time+perf
blur,im3,15,1,4,0.450000,36500,488.430,108.54,6,0,10429,time+perf
blur,im3,15,1,5,0.450000,36500,486.020,108.00,6,0,10429,time+perf
blur,im4,15,1,1,2.350000,135380,2559.960,108.93,8,1,41268,time+perf
blur,im4,15,1,2,2.330000,135380,2537.440,108.90,8,0,41268,time+perf
blur,im4,15,1,3,2.340000,135188,2549.840,108.97,7,1,41267,time+perf
blur,im4,15,1,4,5.260000,135380,2542.900,48.34,5,0,41268,time+perf
blur,im4,15,1,5,2.340000,135384,2543.520,108.70,6,0,41269,time+perf
blur,im1,15,2,1,0.080000,17664,124.450,155.56,5,0,3818,time+perf
blur,im1,15,2,2,0.080000,17664,124.180,155.23,4,0,3820,time+perf
blur,im1,15,2,3,0.080000,17664,122.310,152.89,5,1,3820,time+perf
blur,im1,15,2,4,0.080000,17664,123.250,154.06,4,0,3818,time+perf
blur,im1,15,2,5,0.080000,17664,123.310,154.14,3,0,3820,time+perf
blur,im2,15,2,1,0.170000,24660,267.320,157.25,6,0,6468,time+perf
blur,im2,15,2,2,0.180000,24660,282.290,156.83,9,0,6467,time+perf
blur,im2,15,2,3,0.170000,24280,266.720,156.89,6,0,6468,time+perf
blur,im2,15,2,4,0.170000,24472,274.350,161.38,4,0,6468,time+perf
blur,im2,15,2,5,0.170000,24468,273.520,160.89,4,1,6466,time+perf
blur,im3,15,2,1,0.310000,36504,494.330,159.46,8,1,10435,time+perf
blur,im3,15,2,2,0.320000,36504,499.620,156.13,7,0,10434,time+perf
blur,im3,15,2,3,0.310000,36500,490.260,158.15,5,0,10432,time+perf
blur,im3,15,2,4,0.310000,36120,497.040,160.34,6,1,10433,time+perf
blur,im3,15,2,5,0.310000,36308,496.810,160.26,5,0,10431,time+perf
blur,im4,15,2,1,1.660000,134996,2551.150,153.68,6,0,41271,time+perf
blur,im4,15,2,2,1.670000,134996,2559.200,153.25,7,0,41272,time+perf
blur,im4,15,2,3,1.670000,135000,2557.760,153.16,11,0,41274,time+perf
blur,im4,15,2,4,1.660000,135192,2561.730,154.32,8,0,41273,time+perf
blur,im4,15,2,5,1.650000,135188,2540.530,153.97,11,1,41273,time+perf
blur,im1,15,4,1,0.060000,17856,121.250,202.08,5,0,3826,time+perf
