program,image,radius,threads,rep,elapsed_s,max_rss_kb,task_clock_ms,cpus_utilized,ctx_switches,cpu_migrations,page_faults,tool
blur,im1,15,1,1,0.290000,17664,241.290,83.20,13,1,3809,time+perf
blur,im1,15,1,2,0.230000,17664,247.170,107.47,1,0,3811,time+perf
blur,im1,15,1,3,0.220000,17856,240.850,109.48,2,0,3809,time+perf
blur,im1,15,1,4,0.230000,17664,241.560,105.03,1,1,3809,time+perf
blur,im1,15,1,5,0.220000,17856,239.390,108.81,1,0,3809,time+perf
blur,im2,15,1,1,0.480000,24856,514.950,107.28,18,0,6458,time+perf
blur,im2,15,1,2,0.470000,24660,506.350,107.73,2,0,6457,time+perf
blur,im2,15,1,3,0.470000,24660,508.890,108.27,2,1,6457,time+perf
blur,im2,15,1,4,0.470000,24852,507.220,107.92,2,0,6458,time+perf
blur,im2,15,1,5,0.470000,24660,511.050,108.73,3,1,6456,time+perf
blur,im3,15,1,1,0.850000,36312,926.530,109.00,29,1,10422,time+perf
blur,im3,15,1,2,0.850000,36692,924.790,108.80,4,2,10423,time+perf
blur,im3,15,1,3,0.860000,36692,931.660,108.33,2,0,10421,time+perf
blur,im3,15,1,4,0.860000,36692,937.270,108.98,2,0,10422,time+perf
blur,im3,15,1,5,0.860000,36504,938.060,109.08,4,3,10423,time+perf
blur,im4,15,1,1,7.220000,135188,4661.350,64.56,122,1,41262,time+perf
blur,im4,15,1,2,4.270000,135384,4652.900,108.97,7,0,41264,time+perf
blur,im4,15,1,3,4.260000,135384,4646.830,109.08,6,0,41263,time+perf
blur,im4,15,1,4,4.280000,135384,4664.810,108.99,14,2,41263,time+perf
blur,im4,15,1,5,4.250000,135376,4638.100,109.13,11,0,41261,time+perf
