program,image,radius,threads,runs_total,runs_kept,elapsed_mean,elapsed_std,elapsed_ci95,rss_kb_mean,task_clock_ms_mean,cpus_utilized_mean,t1,speedup_vs_t1
blur,im1,15,1,5,5,0.22600000000000003,0.00489897948556636,0.004294144850840505,17779.2,242.516,107.332,0.23,1.0176991150442476
blur,im1,15,2,5,5,0.13,0.0,0.0,17740.8,235.05599999999998,180.81,0.23,1.7692307692307692
blur,im1,15,4,5,5,0.084,0.004898979485566354,0.0042941448508405,17856.0,235.738,281.46999999999997,0.23,2.738095238095238
blur,im1,15,8,5,5,0.07,0.0,0.0,17856.0,259.852,371.216,0.23,3.2857142857142856
blur,im1,15,16,5,5,0.066,0.00489897948556636,0.004294144850840505,17817.6,303.16999999999996,461.76800000000003,0.23,3.484848484848485
blur,im1,15,32,5,4,0.06,0.0,0.0,17760.0,368.0425,613.405,0.23,3.8333333333333335
blur,im2,15,1,5,4,0.48,0.0,0.0,24614.0,518.9075,108.1075,0.48,1.0
blur,im2,15,2,5,4,0.28,0.0,0.0,24470.0,502.385,179.4225,0.48,1.714285714285714
blur,im2,15,4,5,4,0.19,0.0,0.0,24180.0,514.4275,270.75,0.48,2.526315789473684
blur,im2,15,8,5,3,0.15,0.0,0.0,23958.666666666668,553.7566666666667,369.17,0.48,3.2
blur,im2,15,16,5,4,0.14250000000000002,0.0043301270189221855,0.004243524478543741,24662.0,677.3199999999999,475.25,0.48,3.3684210526315783
blur,im2,15,32,5,4,0.13,0.0,0.0,23604.0,775.085,596.2175,0.48,3.692307692307692
blur,im3,15,1,5,4,0.87,0.0,0.0,36453.0,946.4825,108.79249999999999,0.87,1.0
blur,im3,15,2,5,5,0.52,0.0,0.0,36348.0,939.8619999999999,180.744,0.87,1.673076923076923
blur,im3,15,4,5,4,0.35250000000000004,0.008291561975888486,0.008125730736370716,35924.0,952.4174999999999,270.2,0.87,2.4680851063829783
blur,im3,15,8,5,3,0.29,0.0,0.0,35605.333333333336,1068.9566666666667,368.60666666666674,0.87,3.0
blur,im3,15,16,5,4,0.26,0.0,0.0,35156.0,1299.4275,499.7825,0.87,3.346153846153846
blur,im3,15,32,5,5,0.246,0.00489897948556636,0.004294144850840505,34004.0,1497.474,609.034,0.87,3.5365853658536586
blur,im4,15,1,5,4,4.29,0.007071067811865324,0.006929646455628018,135285.0,4677.81,109.04,4.316,1.006060606060606
blur,im4,15,2,5,4,2.6325000000000003,0.01089724735885163,0.010679302411674597,135142.0,4639.675,176.245,4.316,1.639506172839506
blur,im4,15,4,5,5,1.826,0.01019803902718558,0.008938975332777249,135036.0,4666.154,255.546,4.316,2.3636363636363633
blur,im4,15,8,5,4,1.4925000000000002,0.016393596310755015,0.016065724384539914,134995.0,5116.3099999999995,342.79,4.316,2.8917922948073698
blur,im4,15,16,5,4,1.3525,0.004330127018922197,0.004243524478543753,133461.0,6576.67,486.23249999999996,4.316,3.1911275415896485
blur,im4,15,32,5,4,1.3025,0.004330127018922197,0.004243524478543753,133702.0,7634.257500000001,586.0899999999999,4.316,3.31362763915547
