program,image,radius,threads,rep,elapsed_s,max_rss_kb,task_clock_ms,cpus_utilized,ctx_switches,cpu_migrations,page_faults,tool
blur,im1,15,1,1,0.220000,17664,239.770,108.99,3,0,3815,time+perf
blur,im1,15,1,2,0.230000,17856,244.030,106.10,2,0,3815,time+perf
blur,im1,15,1,3,0.220000,17664,238.280,108.31,5,1,3816,time+perf
blur,im1,15,1,4,0.230000,17856,242.890,105.60,5,0,3816,time+perf
blur,im1,15,1,5,0.230000,17856,247.610,107.66,2,0,3815,time+perf
blur,im2,15,1,1,0.470000,24660,512.920,109.13,5,0,6464,time+perf
blur,im2,15,1,2,0.480000,24660,523.610,109.09,5,0,6463,time+perf
blur,im2,15,1,3,0.480000,24856,515.080,107.31,6,0,6465,time+perf
blur,im2,15,1,4,0.480000,24280,521.820,108.71,5,2,6463,time+perf
blur,im2,15,1,5,0.480000,24660,515.120,107.32,6,0,6463,time+perf
blur,im3,15,1,1,0.870000,36500,950.700,109.28,5,0,10428,time+perf
blur,im3,15,1,2,0.870000,36500,946.310,108.77,4,0,10428,time+perf
blur,im3,15,1,3,3.800000,36504,945.850,24.89,5,1,10430,time+perf
blur,im3,15,1,4,0.870000,36504,942.550,108.34,6,0,10430,time+perf
blur,im3,15,1,5,0.870000,36308,946.370,108.78,6,1,10428,time+perf
blur,im4,15,1,1,4.320000,135384,4712.270,109.08,10,0,41269,time+perf
blur,im4,15,1,2,4.290000,135192,4673.190,108.93,8,1,41269,time+perf
blur,im4,15,1,3,4.290000,135384,4677.740,109.04,10,0,41269,time+perf
blur,im4,15,1,4,4.300000,135380,4692.450,109.13,8,0,41268,time+perf
blur,im4,15,1,5,4.280000,135184,4667.860,109.06,8,1,41266,time+perf
blur,im1,15,2,1,0.130000,17856,242.430,186.48,6,1,3819,time+perf
blur,im1,15,2,2,0.130000,17664,235.110,180.85,5,0,3818,time+perf
blur,im1,15,2,3,0.130000,17664,229.690,176.68,2,0,3819,time+perf
blur,im1,15,2,4,0.130000,17664,235.310,181.01,4,1,3820,time+perf
