program,image,radius,threads,rep,elapsed_s,max_rss_kb,task_clock_ms,cpus_utilized,ctx_switches,cpu_migrations,page_faults,tool
blur,im1,15,1,1,0.260000,17856,239.500,92.12,1,0,3808,time+perf
blur,im1,15,1,2,0.230000,17856,248.080,107.86,2,0,3808,time+perf
blur,im1,15,1,3,0.230000,17664,246.550,107.20,2,0,3809,time+perf
blur,im1,15,1,4,0.220000,17856,239.750,108.98,2,0,3810,time+perf
blur,im1,15,1,5,0.230000,17856,245.160,106.59,2,0,3811,time+perf
blur,im2,15,1,1,0.480000,24852,519.630,108.26,1,0,6458,time+perf
blur,im2,15,1,2,0.470000,24852,513.030,109.16,2,0,6458,time+perf
blur,im2,15,1,3,0.490000,24852,531.940,108.56,4,0,6458,time+perf
blur,im2,15,1,4,0.480000,24660,516.360,107.58,1,1,6457,time+perf
blur,im2,15,1,5,3.420000,24660,528.860,15.46,3,1,6457,time+perf
blur,im3,15,1,1,0.870000,36692,944.660,108.58,3,0,10422,time+perf
blur,im3,15,1,2,0.870000,36696,943.890,108.49,3,0,10423,time+perf
blur,im3,15,1,3,0.880000,36692,950.940,108.06,3,0,10422,time+perf
blur,im3,15,1,4,0.870000,36500,943.210,108.41,3,1,10423,time+perf
blur,im3,15,1,5,0.870000,36696,940.260,108.08,2,0,10422,time+perf
blur,im4,15,1,1,4.330000,135380,4717.830,108.96,7,0,41261,time+perf
blur,im4,15,1,2,4.320000,135380,4704.400,108.90,7,1,41261,time+perf
blur,im4,15,1,3,4.300000,135380,4692.150,109.12,4,0,41261,time+perf
blur,im4,15,1,4,4.340000,135384,4724.760,108.87,10,3,41263,time+perf
blur,im4,15,1,5,4.290000,135188,4672.770,108.92,8,1,41264,time+perf
