program,size,threads,runs_total,runs_kept,elapsed_mean,elapsed_std,elapsed_ci95,rss_kb_mean,task_clock_ms_mean,cpus_utilized_mean,t1,speedup_vs_t1
pearson,128,1,5,5,0.01,0.0,0.0,17779.2,8.83,88.3,0.02,2.0
pearson,128,2,5,5,0.01,0.0,0.0,17548.8,8.874,88.73999999999998,0.02,2.0
pearson,128,4,5,5,0.01,0.0,0.0,17779.2,9.146,91.46,0.02,2.0
pearson,128,8,5,5,0.01,0.0,0.0,17779.2,9.552000000000001,95.52000000000001,0.02,2.0
pearson,128,16,5,5,0.01,0.0,0.0,17664.0,9.778,97.78,0.02,2.0
pearson,128,32,5,5,0.01,0.0,0.0,17779.2,10.181999999999999,101.82000000000001,0.02,2.0
pearson,256,1,5,5,0.04,0.0,0.0,17779.2,35.706,89.26599999999999,0.08,2.0
pearson,256,2,5,4,0.03,0.0,0.0,17808.0,35.745000000000005,119.14750000000001,0.08,2.666666666666667
pearson,256,4,5,5,0.03,0.0,0.0,17702.4,35.855999999999995,119.52000000000001,0.08,2.666666666666667
pearson,256,8,5,5,0.03,0.0,0.0,17740.8,36.01199999999999,120.03800000000001,0.08,2.666666666666667
pearson,256,16,5,5,0.03,0.0,0.0,17779.2,37.510000000000005,125.032,0.08,2.666666666666667
pearson,256,32,5,4,0.03,0.0,0.0,17664.0,38.69,128.9675,0.08,2.666666666666667
pearson,512,1,5,4,0.15,0.0,0.0,17712.0,161.3475,107.5625,0.46799999999999997,3.12
pearson,512,2,5,4,0.14,0.0,0.0,17712.0,161.26749999999998,115.19,0.46799999999999997,3.3428571428571425
pearson,512,4,5,5,0.13,0.0,0.0,17625.6,161.26799999999997,124.054,0.46799999999999997,3.5999999999999996
pearson,512,8,5,5,0.12,0.0,0.0,17702.4,162.434,135.36,0.46799999999999997,3.9
pearson,512,16,5,5,0.12,0.0,0.0,17664.0,169.456,141.21200000000002,0.46799999999999997,3.9
pearson,512,32,5,4,0.12,0.0,0.0,17760.0,171.8675,143.2225,0.46799999999999997,3.9
pearson,1024,1,5,4,0.75,0.0,0.0,32352.0,816.765,108.9025,3.3559999999999994,4.474666666666666
pearson,1024,2,5,4,0.6725,0.004330127018922197,0.004243524478543753,32304.0,814.6425,121.14,3.3559999999999994,4.990334572490705
pearson,1024,4,5,5,0.578,0.007483314773547889,0.006559414608027158,32256.0,823.78,142.53199999999998,3.3559999999999994,5.806228373702422
pearson,1024,8,5,4,0.51,0.0,0.0,32208.0,827.8275,162.32,3.3559999999999994,6.580392156862744
pearson,1024,16,5,5,0.484,0.004898979485566361,0.004294144850840506,32256.0,925.1899999999999,191.152,3.3559999999999994,6.9338842975206605
pearson,1024,32,5,5,0.47400000000000003,0.00489897948556636,0.004294144850840505,32256.0,1009.482,212.948,3.3559999999999994,7.080168776371306
