rank,function,Ir,Ir_percent
1,PROGRAM TOTALS,10110968032,100.000
2,vector.cpp:Vector::dot(Vector) const [/home/adam/dv1674_a2/pearson/pearson_par],3223841280,31.880
3,vector.cpp:Vector::Vector(Vector const&) [/home/adam/dv1674_a2/pearson/pearson_par],2713784811,26.840
4,for (auto i{0}; i < size; i++),1629505021,16.120
5,data[i] = other.data[i];,1086867965,10.750
6,for (auto i{0}; i < size; i++),1613761024,15.960
7,result += data[i] * rhs[i];,1612711424,15.950
8,=> /home/adam/dv1674_a2/pearson/vector.cpp:Vector::dot(Vector) const (523,776x),3223841280,31.880
9,=> /home/adam/dv1674_a2/pearson/vector.cpp:Vector::Vector(Vector const&) (523,776x),2813210761,27.820
10,=> ???:0x000000000010a5f0 (523,776x),1883249412,18.630
11,events annotated,6012279720,59.460
