program,size,threads,rep,elapsed_s,max_rss_kb,task_clock_ms,cpus_utilized,ctx_switches,cpu_migrations,page_faults,tool
pearson,1024,1,1,0.750000,32448,818.630,109.15,3,0,8359,time+perf
pearson,1024,1,2,0.750000,32256,813.000,108.40,6,1,8361,time+perf
pearson,1024,1,3,0.760000,32448,824.690,108.51,9,0,8359,time+perf
pearson,1024,1,4,0.750000,32256,816.660,108.89,6,1,8359,time+perf
pearson,1024,1,5,0.750000,32448,818.770,109.17,4,1,8359,time+perf
pearson,128,1,1,0.010000,17664,8.710,87.10,1,0,251,time+perf
pearson,128,1,2,0.010000,17856,9.010,90.10,1,0,250,time+perf
pearson,128,1,3,0.010000,17856,8.970,89.70,1,0,251,time+perf
pearson,128,1,4,0.010000,17664,8.700,87.00,1,0,251,time+perf
pearson,128,1,5,0.010000,17856,8.760,87.60,1,0,250,time+perf
pearson,256,1,1,0.040000,17856,35.680,89.20,2,0,656,time+perf
pearson,256,1,2,0.040000,17664,35.450,88.63,3,0,656,time+perf
pearson,256,1,3,0.040000,17856,35.650,89.12,3,0,655,time+perf
pearson,256,1,4,0.040000,17856,35.620,89.05,2,1,656,time+perf
pearson,256,1,5,0.040000,17664,36.130,90.33,2,0,657,time+perf
pearson,512,1,1,0.160000,17856,168.620,105.39,3,0,2199,time+perf
pearson,512,1,2,0.150000,17664,160.530,107.02,4,0,2198,time+perf
pearson,512,1,3,0.150000,17856,165.710,110.47,3,0,2199,time+perf
pearson,512,1,4,0.150000,17664,161.270,107.51,4,0,2199,time+perf
pearson,512,1,5,0.150000,17664,157.880,105.25,2,0,2198,time+perf
pearson,1024,2,1,0.680000,32256,820.000,120.59,6,0,8366,time+perf
pearson,1024,2,2,0.670000,32256,813.320,121.39,4,0,8365,time+perf
pearson,1024,2,3,0.670000,32256,815.830,121.77,6,1,8365,time+perf
pearson,1024,2,4,3.610000,32064,815.900,22.60,6,1,8366,time+perf
pearson,1024,2,5,0.670000,32448,809.420,120.81,3,0,8366,time+perf
pearson,128,2,1,0.010000,17664,9.560,95.60,1,0,254,time+perf
pearson,128,2,2,0.010000,17664,8.630,86.30,1,0,254,time+perf
pearson,128,2,3,0.010000,17664,8.690,86.90,1,0,255,time+perf
pearson,128,2,4,0.010000,17664,8.750,87.50,2,0,254,time+perf
pearson,128,2,5,0.010000,17088,8.740,87.40,1,0,254,time+perf
pearson,256,2,1,0.030000,17856,36.130,120.43,1,0,660,time+perf
pearson,256,2,2,0.030000,17856,35.170,117.23,2,1,660,time+perf
pearson,256,2,3,0.030000,17856,35.530,118.43,3,0,660,time+perf
pearson,256,2,4,0.040000,17856,37.180,92.95,3,0,660,time+perf
pearson,256,2,5,0.030000,17664,36.150,120.50,3,0,660,time+perf
pearson,512,2,1,0.140000,17664,162.350,115.96,2,0,2203,time+perf
pearson,512,2,2,0.140000,17664,159.640,114.03,2,0,2204,time+perf
pearson,512,2,3,0.140000,17856,158.400,113.14,2,0,2203,time+perf
pearson,512,2,4,0.140000,17664,164.680,117.63,3,1,2204,time+perf
pearson,512,2,5,0.150000,17664,165.250,110.17,4,0,2204,time+perf
pearson,1024,4,1,0.580000,32256,826.160,142.44,8,3,8374,time+perf
pearson,1024,4,2,0.580000,32256,817.710,140.98,6,0,8375,time+perf
pearson,1024,4,3,0.590000,32256,837.460,141.94,7,0,8374,time+perf
pearson,1024,4,4,0.570000,32256,821.060,144.05,4,1,8375,time+perf
pearson,1024,4,5,0.570000,32256,816.510,143.25,10,0,8374,time+perf
pearson,128,4,1,0.010000,17856,9.000,90.00,11,0,260,time+perf
pearson,128,4,2,0.010000,17664,9.560,95.60,3,0,259,time+perf
pearson,128,4,3,0.010000,17664,9.230,92.30,2,0,260,time+perf
pearson,128,4,4,0.010000,17856,8.720,87.20,2,0,260,time+perf
pearson,128,4,5,0.010000,17856,9.220,92.20,1,0,259,time+perf
pearson,256,4,1,0.030000,17664,35.540,118.47,3,0,670,time+perf
pearson,256,4,2,0.030000,17664,36.700,122.33,3,0,668,time+perf
pearson,256,4,3,0.030000,17664,36.010,120.03,3,1,667,time+perf
pearson,256,4,4,0.030000,17664,35.480,118.27,4,0,668,time+perf
pearson,256,4,5,0.030000,17856,35.550,118.50,2,0,668,time+perf
pearson,512,4,1,0.130000,17664,159.660,122.82,4,2,2211,time+perf
pearson,512,4,2,0.130000,17664,162.840,125.26,6,2,2212,time+perf
pearson,512,4,3,0.130000,17472,163.200,125.54,4,0,2211,time+perf
pearson,512,4,4,0.130000,17664,160.200,123.23,4,0,2211,time+perf
pearson,512,4,5,0.130000,17664,160.440,123.42,3,0,2212,time+perf
pearson,1024,8,1,0.510000,32256,825.060,161.78,11,0,8391,time+perf
pearson,1024,8,2,0.520000,32256,854.590,164.34,6,0,8395,time+perf
pearson,1024,8,3,0.510000,32064,833.270,163.39,8,1,8393,time+perf
pearson,1024,8,4,0.510000,32256,821.480,161.07,8,0,8395,time+perf
pearson,1024,8,5,0.510000,32256,831.500,163.04,3,0,8392,time+perf
pearson,128,8,1,0.010000,17856,10.060,100.60,7,0,269,time+perf
pearson,128,8,2,0.010000,17856,9.200,92.00,4,0,272,time+perf
pearson,128,8,3,0.010000,17664,9.810,98.10,8,0,272,time+perf
pearson,128,8,4,0.010000,17856,9.380,93.80,5,0,271,time+perf
pearson,128,8,5,0.010000,17664,9.310,93.10,2,0,269,time+perf
pearson,256,8,1,0.030000,17664,36.550,121.83,4,0,682,time+perf
pearson,256,8,2,0.030000,17664,35.520,118.40,5,0,683,time+perf
pearson,256,8,3,0.030000,17664,35.500,118.33,5,1,682,time+perf
pearson,256,8,4,0.030000,17856,36.450,121.50,10,0,684,time+perf
pearson,256,8,5,0.030000,17856,36.040,120.13,5,0,682,time+perf
pearson,512,8,1,0.120000,17664,161.980,134.98,11,0,2225,time+perf
pearson,512,8,2,0.120000,17664,160.920,134.10,12,1,2223,time+perf
pearson,512,8,3,0.120000,17856,165.050,137.54,4,1,2226,time+perf
pearson,512,8,4,0.120000,17664,160.620,133.85,8,1,2226,time+perf
pearson,512,8,5,0.120000,17664,163.600,136.33,9,0,2228,time+perf
pearson,1024,16,1,0.490000,32256,908.530,185.41,17,0,8434,time+perf
pearson,1024,16,2,0.480000,32256,913.780,190.37,24,0,8433,time+perf
pearson,1024,16,3,0.490000,32256,967.540,197.46,12,0,8432,time+perf
pearson,1024,16,4,0.480000,32256,928.660,193.47,12,2,8433,time+perf
pearson,1024,16,5,0.480000,32256,907.440,189.05,6,0,8430,time+perf
pearson,128,16,1,0.010000,17664,9.530,95.30,3,0,285,time+perf
pearson,128,16,2,0.010000,17664,9.920,99.20,13,0,286,time+perf
pearson,128,16,3,0.010000,17664,9.970,99.70,5,0,285,time+perf
pearson,128,16,4,0.010000,17664,9.960,99.60,14,0,287,time+perf
pearson,128,16,5,0.010000,17664,9.510,95.10,1,0,284,time+perf
pearson,256,16,1,0.030000,17856,36.810,122.70,8,0,632,time+perf
pearson,256,16,2,0.030000,17856,37.070,123.57,10,1,634,time+perf
pearson,256,16,3,0.030000,17664,37.000,123.33,13,0,636,time+perf
pearson,256,16,4,0.030000,17664,36.460,121.53,5,1,635,time+perf
pearson,256,16,5,0.030000,17856,40.210,134.03,18,5,642,time+perf
pearson,512,16,1,0.120000,17664,175.300,146.08,20,2,2000,time+perf
pearson,512,16,2,0.120000,17664,163.920,136.60,6,0,1991,time+perf
pearson,512,16,3,0.120000,17664,158.670,132.22,11,2,1990,time+perf
pearson,512,16,4,0.120000,17664,171.380,142.82,13,1,1993,time+perf
pearson,512,16,5,0.120000,17664,178.010,148.34,13,0,1998,time+perf
pearson,1024,32,1,0.470000,32256,984.130,209.39,36,11,7469,time+perf
pearson,1024,32,2,0.480000,32256,1055.100,219.81,36,13,7486,time+perf
pearson,1024,32,3,0.470000,32256,1020.730,217.18,41,4,7471,time+perf
pearson,1024,32,4,0.480000,32256,1014.300,211.31,28,6,7464,time+perf
pearson,1024,32,5,0.470000,32256,973.150,207.05,41,11,7472,time+perf
pearson,128,32,1,0.010000,17856,9.710,97.10,3,0,317,time+perf
pearson,128,32,2,0.010000,17664,10.510,105.10,6,0,317,time+perf
pearson,128,32,3,0.010000,17664,9.840,98.40,6,0,315,time+perf
pearson,128,32,4,0.010000,17856,10.650,106.50,5,0,316,time+perf
pearson,128,32,5,0.010000,17856,10.200,102.00,12,0,317,time+perf
pearson,256,32,1,0.030000,17472,39.790,132.63,8,0,666,time+perf
pearson,256,32,2,0.040000,17856,40.440,101.10,5,0,668,time+perf
pearson,256,32,3,0.030000,17664,37.470,124.90,28,6,674,time+perf
pearson,256,32,4,0.030000,17664,38.870,129.57,7,0,669,time+perf
pearson,256,32,5,0.030000,17856,38.630,128.77,39,3,674,time+perf
pearson,512,32,1,0.110000,17664,162.160,147.42,9,8,2028,time+perf
pearson,512,32,2,0.120000,17856,164.330,136.94,7,7,2024,time+perf
pearson,512,32,3,0.120000,17664,178.680,148.90,44,27,2044,time+perf
pearson,512,32,4,0.120000,17664,171.770,143.14,20,7,2034,time+perf
pearson,512,32,5,0.120000,17856,172.690,143.91,34,16,2037,time+perf
