program,size,threads,rep,elapsed_s,max_rss_kb,task_clock_ms,cpus_utilized,ctx_switches,cpu_migrations,page_faults,tool
pearson,1024,1,1,3.400000,24012,3682.580,108.31,5,1,7321,time+perf
pearson,1024,1,2,3.280000,24156,3579.350,109.13,10,0,7321,time+perf
pearson,1024,1,3,3.280000,24136,3579.330,109.13,6,2,7321,time+perf
pearson,1024,1,4,3.550000,24152,3870.960,109.04,4,1,7321,time+perf
pearson,1024,1,5,3.270000,24160,3559.560,108.86,8,0,7321,time+perf
pearson,128,1,1,0.020000,17664,14.540,72.70,0,0,230,time+perf
pearson,128,1,2,0.020000,17664,14.180,70.90,0,0,228,time+perf
pearson,128,1,3,0.020000,17856,13.680,68.40,0,0,229,time+perf
pearson,128,1,4,0.020000,17856,15.480,77.40,0,0,229,time+perf
pearson,128,1,5,0.020000,17664,14.340,71.70,0,0,229,time+perf
pearson,256,1,1,0.080000,17664,81.790,102.24,2,1,582,time+perf
pearson,256,1,2,0.080000,17664,80.320,100.40,1,0,581,time+perf
pearson,256,1,3,0.080000,17664,80.990,101.24,1,0,582,time+perf
pearson,256,1,4,0.080000,17664,80.690,100.86,2,0,582,time+perf
pearson,256,1,5,0.080000,17664,80.210,100.26,4,0,581,time+perf
pearson,512,1,1,0.470000,17664,507.590,108.00,3,0,1933,time+perf
pearson,512,1,2,0.470000,17664,509.440,108.39,0,0,1933,time+perf
pearson,512,1,3,0.480000,17664,515.070,107.31,4,0,1933,time+perf
pearson,512,1,4,0.460000,17856,498.690,108.41,3,1,1933,time+perf
pearson,512,1,5,0.460000,17664,503.480,109.45,3,1,1933,time+perf
