program,size,threads,rep,elapsed_s,max_rss_kb,task_clock_ms,cpus_utilized,ctx_switches,cpu_migrations,page_faults,tool
pearson,1024,1,1,0.540000,40512,587.800,108.85,6,0,10372,time+perf
pearson,1024,1,2,0.540000,40512,586.910,108.69,3,0,10374,time+perf
pearson,1024,1,3,0.540000,40512,583.800,108.11,3,0,10373,time+perf
pearson,1024,1,4,0.550000,40512,596.220,108.40,2,0,10374,time+perf
pearson,1024,1,5,0.540000,40512,581.110,107.61,3,0,10373,time+perf
pearson,128,1,1,0.010000,17664,8.490,84.90,1,0,283,time+perf
pearson,128,1,2,0.010000,17664,8.340,83.40,1,0,283,time+perf
pearson,128,1,3,0.010000,17664,8.450,84.50,2,0,282,time+perf
pearson,128,1,4,0.010000,17856,9.960,99.60,1,0,282,time+perf
pearson,128,1,5,0.010000,17856,8.670,86.70,2,1,283,time+perf
pearson,256,1,1,0.030000,17664,30.940,103.13,2,1,750,time+perf
pearson,256,1,2,0.030000,17664,31.260,104.20,1,0,751,time+perf
pearson,256,1,3,0.030000,17664,31.420,104.73,2,0,751,time+perf
pearson,256,1,4,0.030000,17664,32.120,107.07,3,0,750,time+perf
pearson,256,1,5,0.030000,17664,31.520,105.07,2,0,750,time+perf
pearson,512,1,1,0.120000,17664,130.600,108.83,3,0,2678,time+perf
pearson,512,1,2,0.120000,17664,131.930,109.94,2,0,2678,time+perf
pearson,512,1,3,0.120000,17664,130.110,108.43,3,1,2678,time+perf
pearson,512,1,4,0.120000,17664,129.810,108.17,4,0,2677,time+perf
pearson,512,1,5,0.120000,17664,129.540,107.95,6,0,2678,time+perf
pearson,1024,2,1,0.520000,40320,587.100,112.90,3,0,10375,time+perf
pearson,1024,2,2,0.510000,40320,583.840,114.48,5,1,10373,time+perf
pearson,1024,2,3,0.510000,40320,575.220,112.79,3,1,10375,time+perf
pearson,1024,2,4,0.510000,40320,582.420,114.20,5,0,10374,time+perf
pearson,1024,2,5,0.510000,40320,582.690,114.25,5,1,10375,time+perf
pearson,128,2,1,0.010000,17664,8.140,81.40,1,0,284,time+perf
pearson,128,2,2,0.010000,17664,8.200,82.00,1,0,285,time+perf
pearson,128,2,3,0.010000,17664,8.540,85.40,1,0,285,time+perf
pearson,128,2,4,0.010000,17664,8.040,80.40,1,0,285,time+perf
pearson,128,2,5,0.010000,17664,8.200,82.00,2,1,285,time+perf
pearson,256,2,1,0.030000,17856,31.290,104.30,2,0,753,time+perf
pearson,256,2,2,0.030000,17664,31.440,104.80,1,0,753,time+perf
pearson,256,2,3,0.030000,17856,31.920,106.40,2,0,755,time+perf
pearson,256,2,4,0.030000,17664,32.300,107.67,2,0,753,time+perf
pearson,256,2,5,0.030000,17856,31.360,104.53,2,0,753,time+perf
pearson,512,2,1,3.060000,17664,131.690,4.30,2,0,2679,time+perf
pearson,512,2,2,0.150000,17856,129.890,86.59,4,0,2679,time+perf
pearson,512,2,3,0.120000,17664,128.970,107.48,2,0,2680,time+perf
pearson,512,2,4,0.120000,17664,129.690,108.07,2,0,2680,time+perf
pearson,512,2,5,0.120000,17664,128.840,107.37,3,1,2680,time+perf
pearson,1024,4,1,0.490000,40320,586.480,119.69,5,2,10378,time+perf
