program,size,threads,rep,elapsed_s,max_rss_kb,task_clock_ms,cpus_utilized,ctx_switches,cpu_migrations,page_faults,tool
pearson,1024,1,1,3.390000,24160,3620.470,106.80,11,0,7322,time+perf
pearson,1024,1,2,3.250000,24036,3544.440,109.06,5,1,7322,time+perf
pearson,1024,1,3,3.240000,24160,3533.540,109.06,7,0,7322,time+perf
pearson,1024,1,4,3.260000,24160,3554.470,109.03,10,0,7322,time+perf
pearson,1024,1,5,3.260000,24152,3557.220,109.12,8,1,7322,time+perf
pearson,128,1,1,0.020000,17664,15.250,76.25,2,0,229,time+perf
pearson,128,1,2,0.020000,17664,15.180,75.90,1,0,229,time+perf
pearson,128,1,3,0.020000,17856,13.550,67.75,0,0,229,time+perf
pearson,128,1,4,0.020000,17664,14.730,73.65,1,0,228,time+perf
pearson,128,1,5,0.020000,17664,14.000,70.00,0,0,229,time+perf
pearson,256,1,1,0.080000,17856,81.220,101.53,3,0,582,time+perf
pearson,256,1,2,0.080000,17856,79.720,99.65,1,0,583,time+perf
pearson,256,1,3,0.080000,17664,80.860,101.08,1,0,582,time+perf
pearson,256,1,4,0.080000,17664,80.410,100.51,2,0,584,time+perf
pearson,256,1,5,0.080000,17856,80.260,100.33,2,0,582,time+perf
pearson,512,1,1,0.470000,17856,507.630,108.01,3,0,1933,time+perf
pearson,512,1,2,0.460000,17664,502.780,109.30,2,1,1932,time+perf
pearson,512,1,3,0.460000,17664,502.880,109.32,2,0,1932,time+perf
pearson,512,1,4,0.460000,17856,498.090,108.28,1,1,1933,time+perf
pearson,512,1,5,0.480000,17856,515.550,107.41,1,0,1933,time+perf
