program,size,threads,rep,elapsed_s,max_rss_kb,task_clock_ms,cpus_utilized,ctx_switches,cpu_migrations,page_faults,tool
pearson,1024,1,1,6.300000,24192,3669.480,58.25,4,0,6312,time+perf
pearson,1024,1,2,3.370000,23808,3675.680,109.07,7,3,6312,time+perf
pearson,1024,1,3,3.380000,24192,3679.350,108.86,7,0,6311,time+perf
pearson,1024,1,4,3.360000,24192,3666.570,109.12,5,0,6313,time+perf
pearson,1024,1,5,3.350000,24192,3652.470,109.03,8,0,6311,time+perf
pearson,128,1,1,0.020000,17856,14.290,71.45,2,0,219,time+perf
pearson,128,1,2,0.020000,17664,15.050,75.25,2,0,220,time+perf
pearson,128,1,3,0.020000,17664,14.270,71.35,1,0,219,time+perf
pearson,128,1,4,0.020000,17856,14.260,71.30,1,0,218,time+perf
pearson,128,1,5,0.020000,17856,14.120,70.60,2,0,219,time+perf
pearson,256,1,1,0.080000,17856,85.360,106.70,3,1,528,time+perf
pearson,256,1,2,0.080000,17856,82.860,103.57,2,0,528,time+perf
pearson,256,1,3,0.080000,17856,82.060,102.57,2,0,529,time+perf
pearson,256,1,4,0.080000,17856,85.030,106.29,2,0,528,time+perf
pearson,256,1,5,0.080000,17856,83.100,103.87,3,0,529,time+perf
pearson,512,1,1,0.480000,17664,524.560,109.28,4,1,1686,time+perf
pearson,512,1,2,0.490000,17856,526.520,107.45,3,0,1687,time+perf
pearson,512,1,3,0.480000,17856,520.140,108.36,2,0,1686,time+perf
pearson,512,1,4,0.490000,17664,529.790,108.12,4,0,1687,time+perf
pearson,512,1,5,0.480000,17664,519.540,108.24,2,0,1687,time+perf
pearson,1024,2,1,2.660000,24000,3690.780,138.75,12,0,6328,time+perf
pearson,1024,2,2,2.660000,24000,3702.000,139.17,7,0,6329,time+perf
pearson,1024,2,3,2.640000,24000,3680.360,139.41,8,0,6329,time+perf
pearson,1024,2,4,2.640000,23808,3666.560,138.88,5,1,6330,time+perf
pearson,1024,2,5,2.640000,24000,3767.390,142.70,6,0,6329,time+perf
pearson,128,2,1,0.010000,18048,14.690,146.90,1,0,224,time+perf
pearson,128,2,2,0.010000,17856,14.240,142.40,1,0,224,time+perf
pearson,128,2,3,0.020000,17856,14.730,73.65,1,0,224,time+perf
pearson,128,2,4,0.020000,17856,15.080,75.40,1,0,223,time+perf
pearson,128,2,5,0.010000,17856,14.410,144.10,1,0,225,time+perf
pearson,256,2,1,0.070000,17856,82.410,117.73,3,0,536,time+perf
pearson,256,2,2,0.070000,17664,84.310,120.44,3,0,534,time+perf
pearson,256,2,3,0.070000,17664,82.870,118.39,4,1,536,time+perf
pearson,256,2,4,0.070000,17856,90.600,129.43,3,0,535,time+perf
pearson,256,2,5,0.070000,17856,83.790,119.70,3,0,534,time+perf
pearson,512,2,1,0.390000,17856,518.240,132.88,5,0,1695,time+perf
pearson,512,2,2,0.390000,17856,523.460,134.22,1,0,1697,time+perf
pearson,512,2,3,0.390000,17856,521.520,133.72,4,1,1696,time+perf
pearson,512,2,4,3.320000,17856,519.350,15.64,2,0,1698,time+perf
pearson,512,2,5,0.390000,17856,522.690,134.02,3,0,1696,time+perf
pearson,1024,4,1,1.740000,24000,3713.670,213.43,8,1,6364,time+perf
pearson,1024,4,2,1.730000,24000,3714.030,214.68,13,1,6363,time+perf
pearson,1024,4,3,1.730000,23808,3685.320,213.02,18,4,6363,time+perf
pearson,1024,4,4,1.730000,24000,3687.950,213.18,7,0,6362,time+perf
pearson,1024,4,5,1.730000,24000,3682.430,212.86,12,2,6362,time+perf
pearson,128,4,1,0.010000,17856,14.940,149.40,2,0,234,time+perf
pearson,128,4,2,0.010000,17856,14.310,143.10,2,0,233,time+perf
