program,size,threads,rep,elapsed_s,max_rss_kb,task_clock_ms,cpus_utilized,ctx_switches,cpu_migrations,page_faults,tool
pearson,1024,1,1,3.400000,24156,3675.620,108.11,5,0,7321,time+perf
pearson,1024,1,2,3.340000,24156,3638.720,108.94,9,0,7321,time+perf
pearson,1024,1,3,3.320000,24000,3622.360,109.11,7,1,7321,time+perf
pearson,1024,1,4,3.320000,24100,3619.380,109.02,6,1,7321,time+perf
pearson,1024,1,5,3.330000,24036,3629.650,109.00,7,2,7322,time+perf
pearson,128,1,1,0.020000,17856,14.410,72.05,0,0,229,time+perf
pearson,128,1,2,0.020000,17664,14.280,71.40,0,0,229,time+perf
pearson,128,1,3,0.020000,17664,14.150,70.75,0,0,230,time+perf
pearson,128,1,4,0.020000,17856,13.930,69.65,0,0,230,time+perf
pearson,128,1,5,0.020000,17664,14.470,72.35,0,0,229,time+perf
pearson,256,1,1,0.080000,17664,84.410,105.51,3,0,582,time+perf
pearson,256,1,2,0.080000,17856,83.170,103.96,1,0,583,time+perf
pearson,256,1,3,0.080000,17856,81.200,101.50,1,1,583,time+perf
pearson,256,1,4,0.080000,17856,82.360,102.95,1,0,583,time+perf
pearson,256,1,5,0.080000,17856,82.980,103.72,2,0,581,time+perf
pearson,512,1,1,0.470000,18048,505.040,107.46,4,1,1932,time+perf
pearson,512,1,2,0.470000,17664,509.100,108.32,3,1,1933,time+perf
pearson,512,1,3,0.470000,17664,508.940,108.29,3,1,1933,time+perf
pearson,512,1,4,0.470000,17856,512.420,109.03,2,1,1932,time+perf
pearson,512,1,5,0.470000,17664,504.690,107.38,3,1,1932,time+perf
