program,size,threads,runs_total,runs_kept,elapsed_mean,elapsed_std,elapsed_ci95,rss_kb_mean,task_clock_ms_mean,cpus_utilized_mean,t1,speedup_vs_t1
pearson,128,1,5,5,0.02,0.0,0.0,17779.2,14.398,71.98999999999998,0.02,1.0
pearson,128,2,5,5,0.013999999999999999,0.004898979485566357,0.004294144850840502,17894.4,14.629999999999999,116.49000000000001,0.02,1.4285714285714288
pearson,128,4,5,5,0.01,0.0,0.0,17856.0,14.668000000000001,146.68,0.02,2.0
pearson,128,8,5,5,0.01,0.0,0.0,17856.0,15.002,150.01999999999998,0.02,2.0
pearson,128,16,5,5,0.01,0.0,0.0,17817.6,16.954,169.54000000000002,0.02,2.0
pearson,128,32,5,5,0.01,0.0,0.0,17817.6,16.392,163.92000000000002,0.02,2.0
pearson,256,1,5,5,0.08,0.0,0.0,17856.0,83.68199999999999,104.6,0.08,1.0
pearson,256,2,5,5,0.07,0.0,0.0,17779.2,84.796,121.138,0.08,1.1428571428571428
pearson,256,4,5,5,0.05,0.0,0.0,17894.4,83.514,167.028,0.08,1.5999999999999999
pearson,256,8,5,5,0.04,0.0,0.0,17817.6,85.02000000000001,212.548,0.08,2.0
pearson,256,16,5,5,0.04,0.0,0.0,17817.6,98.224,245.56200000000004,0.08,2.0
pearson,256,32,5,4,0.04,0.0,0.0,17760.0,110.58,276.4475,0.08,2.0
pearson,512,1,5,5,0.484,0.00489897948556636,0.004294144850840505,17740.8,524.1099999999999,108.29,0.4699999999999999,0.9710743801652891
pearson,512,2,5,4,0.39,0.0,0.0,17856.0,521.4775,133.71,0.4699999999999999,1.2051282051282048
pearson,512,4,5,5,0.274,0.00489897948556636,0.004294144850840505,17779.2,524.242,191.392,0.4699999999999999,1.7153284671532842
pearson,512,8,5,4,0.2,0.0,0.0,17808.0,545.7524999999999,272.8775,0.4699999999999999,2.3499999999999996
pearson,512,16,5,5,0.17,0.0,0.0,17779.2,654.4179999999999,384.95199999999994,0.4699999999999999,2.7647058823529407
pearson,512,32,5,5,0.154,0.00489897948556636,0.004294144850840505,17817.6,783.162,508.802,0.4699999999999999,3.0519480519480515
pearson,1024,1,5,4,3.3649999999999998,0.011180339887498909,0.01095673308974893,24096.0,3668.5175,109.02000000000001,3.3275,0.9888558692421993
pearson,1024,2,5,5,2.6480000000000006,0.00979795897113272,0.00858828970168101,23961.6,3701.418,139.78199999999998,3.3275,1.2566087613293049
pearson,1024,4,5,4,1.73,0.0,0.0,23952.0,3692.4325,213.43500000000003,3.3275,1.9234104046242775
pearson,1024,8,5,3,1.15,0.0,0.0,24000.0,3890.396666666666,338.29333333333335,3.3275,2.8934782608695655
pearson,1024,16,5,4,0.855,0.011180339887498959,0.010956733089748979,24000.0,4707.97,550.7525,3.3275,3.891812865497076
pearson,1024,32,5,5,0.7379999999999999,0.00748331477354789,0.0065594146080271585,24192.0,5898.745999999999,799.214,3.3275,4.508807588075881
